*******************************************************************************
 2014-Nov-04 00:00     2.8205227898E+08   6.982682  -3.829020
 2014-Nov-05 00:00     2.8201581498E+08   7.078125  -4.134949
 2014-Nov-06 00:00     2.8197569783E+08   7.173669  -4.440951
 2014-Nov-07 00:00     2.8193192778E+08   7.269323  -4.747036
 2014-Nov-08 00:00     2.8188450513E+08   7.365093  -5.053209
 2014-Nov-09 00:00     2.8183343017E+08   7.460990  -5.359478
 2014-Nov-10 00:00     2.8177870324E+08   7.557020  -5.665850
 2014-Nov-11 00:00     2.8172032468E+08   7.653192  -5.972332
 2014-Nov-12 00:00     2.8165829486E+08   7.749515  -6.278932
 2014-Nov-13 00:00     2.8159261416E+08   7.845997  -6.585656
 2014-Nov-14 00:00     2.8152328299E+08   7.942645  -6.892511
 2014-Nov-15 00:00     2.8145030178E+08   8.039470  -7.199505
 2014-Nov-16 00:00     2.8137367099E+08   8.136479  -7.506644
 2014-Nov-17 00:00     2.8129339108E+08   8.233680  -7.813937
 2014-Nov-18 00:00     2.8120946256E+08   8.331084  -8.121390
 2014-Nov-19 00:00     2.8112188595E+08   8.428697  -8.429010
 2014-Nov-20 00:00     2.8103066179E+08   8.526530  -8.736804
 2014-Nov-21 00:00     2.8093579065E+08   8.624592  -9.044780
 2014-Nov-22 00:00     2.8083727311E+08   8.722890  -9.352945
 2014-Nov-23 00:00     2.8073510980E+08   8.821435  -9.661306
 2014-Nov-24 00:00     2.8062930135E+08   8.920235  -9.969871
 2014-Nov-25 00:00     2.8051984844E+08   9.019300 -10.278646
 2014-Nov-26 00:00     2.8040675175E+08   9.118639 -10.587639
 2014-Nov-27 00:00     2.8029001201E+08   9.218263 -10.896856
 2014-Nov-28 00:00     2.8016962995E+08   9.318179 -11.206307
 2014-Nov-29 00:00     2.8004560636E+08   9.418399 -11.515997
 2014-Nov-30 00:00     2.7991794203E+08   9.518932 -11.825934
 2014-Dec-01 00:00     2.7978663779E+08   9.619787 -12.136125
 2014-Dec-02 00:00     2.7965169451E+08   9.720976 -12.446578
 2014-Dec-03 00:00     2.7951311307E+08   9.822508 -12.757299
 2014-Dec-04 00:00     2.7937089440E+08   9.924394 -13.068298
 2014-Dec-05 00:00     2.7922503944E+08  10.026644 -13.379579
 2014-Dec-06 00:00     2.7907554918E+08  10.129268 -13.691152
 2014-Dec-07 00:00     2.7892242463E+08  10.232279 -14.003024
 2014-Dec-08 00:00     2.7876566685E+08  10.335686 -14.315201
 2014-Dec-09 00:00     2.7860527691E+08  10.439501 -14.627692
 2014-Dec-10 00:00     2.7844125593E+08  10.543735 -14.940504
 2014-Dec-11 00:00     2.7827360507E+08  10.648400 -15.253644
 2014-Dec-12 00:00     2.7810232552E+08  10.753506 -15.567119
 2014-Dec-13 00:00     2.7792741850E+08  10.859067 -15.880938
 2014-Dec-14 00:00     2.7774888528E+08  10.965095 -16.195108
 2014-Dec-15 00:00     2.7756672716E+08  11.071600 -16.509636
 2014-Dec-16 00:00     2.7738094548E+08  11.178596 -16.824531
 2014-Dec-17 00:00     2.7719154164E+08  11.286096 -17.139798
 2014-Dec-18 00:00     2.7699851706E+08  11.394112 -17.455447
 2014-Dec-19 00:00     2.7680187321E+08  11.502658 -17.771484
 2014-Dec-20 00:00     2.7660161159E+08  11.611746 -18.087918
 2014-Dec-21 00:00     2.7639773378E+08  11.721390 -18.404756
 2014-Dec-22 00:00     2.7619024136E+08  11.831605 -18.722005
 2014-Dec-23 00:00     2.7597913600E+08  11.942404 -19.039674
 2014-Dec-24 00:00     2.7576441939E+08  12.053802 -19.357769
