*******************************************************************************
 2014-Oct-19 00:00     2.0216421595E+08 155.605034 -56.446727
 2014-Oct-20 00:00     2.0126817359E+08 156.193050 -55.913756
 2014-Oct-21 00:00     2.0037181023E+08 156.770111 -55.373265
 2014-Oct-22 00:00     1.9947523173E+08 157.336545 -54.825244
 2014-Oct-23 00:00     1.9857854689E+08 157.892671 -54.269683
 2014-Oct-24 00:00     1.9768186751E+08 158.438802 -53.706567
 2014-Oct-25 00:00     1.9678530846E+08 158.975244 -53.135878
 2014-Oct-26 00:00     1.9588898774E+08 159.502296 -52.557596
 2014-Oct-27 00:00     1.9499302658E+08 160.020250 -51.971699
 2014-Oct-28 00:00     1.9409754946E+08 160.529391 -51.378161
 2014-Oct-29 00:00     1.9320268421E+08 161.029996 -50.776954
 2014-Oct-30 00:00     1.9230856210E+08 161.522339 -50.168048
 2014-Oct-31 00:00     1.9141531785E+08 162.006683 -49.551411
 2014-Nov-01 00:00     1.9052308978E+08 162.483287 -48.927009
 2014-Nov-02 00:00     1.8963201981E+08 162.952403 -48.294806
 2014-Nov-03 00:00     1.8874225356E+08 163.414276 -47.654762
 2014-Nov-04 00:00     1.8785394043E+08 163.869148 -47.006840
 2014-Nov-05 00:00     1.8696723363E+08 164.317251 -46.350997
 2014-Nov-06 00:00     1.8608229031E+08 164.758814 -45.687190
 2014-Nov-07 00:00     1.8519927154E+08 165.194060 -45.015376
 2014-Nov-08 00:00     1.8431834247E+08 165.623205 -44.335510
 2014-Nov-09 00:00     1.8343967232E+08 166.046463 -43.647545
 2014-Nov-10 00:00     1.8256343446E+08 166.464041 -42.951434
 2014-Nov-11 00:00     1.8168980650E+08 166.876140 -42.247130
 2014-Nov-12 00:00     1.8081897030E+08 167.282959 -41.534584
 2014-Nov-13 00:00     1.7995111206E+08 167.684692 -40.813747
 2014-Nov-14 00:00     1.7908642234E+08 168.081527 -40.084571
 2014-Nov-15 00:00     1.7822509615E+08 168.473649 -39.347007
 2014-Nov-16 00:00     1.7736733294E+08 168.861239 -38.601006
 2014-Nov-17 00:00     1.7651333667E+08 169.244476 -37.846519
 2014-Nov-18 00:00     1.7566331585E+08 169.623533 -37.083497
 2014-Nov-19 00:00     1.7481748353E+08 169.998581 -36.311895
 2014-Nov-20 00:00     1.7397605737E+08 170.369787 -35.531664
 2014-Nov-21 00:00     1.7313925964E+08 170.737316 -34.742761
 2014-Nov-22 00:00     1.7230731720E+08 171.101330 -33.945139
 2014-Nov-23 00:00     1.7148046155E+08 171.461988 -33.138757
 2014-Nov-24 00:00     1.7065892880E+08 171.819447 -32.323574
 2014-Nov-25 00:00     1.6984295966E+08 172.173861 -31.499551
 2014-Nov-26 00:00     1.6903279940E+08 172.525383 -30.666651
 2014-Nov-27 00:00     1.6822869787E+08 172.874163 -29.824839
 2014-Nov-28 00:00     1.6743090940E+08 173.220350 -28.974085
 2014-Nov-29 00:00     1.6663969277E+08 173.564092 -28.114359
 2014-Nov-30 00:00     1.6585531116E+08 173.905534 -27.245637
 2014-Dec-01 00:00     1.6507803207E+08 174.244821 -26.367896
 2014-Dec-02 00:00     1.6430812720E+08 174.582097 -25.481118
 2014-Dec-03 00:00     1.6354587240E+08 174.917505 -24.585291
 2014-Dec-04 00:00     1.6279154750E+08 175.251187 -23.680403
 2014-Dec-05 00:00     1.6204543623E+08 175.583284 -22.766452
 2014-Dec-06 00:00     1.6130782604E+08 175.913940 -21.843436
 2014-Dec-07 00:00     1.6057900796E+08 176.243294 -20.911362
 2014-Dec-08 00:00     1.5985927640E+08 176.571490 -19.970241
 2014-Dec-09 00:00     1.5914892898E+08 176.898667 -19.020091
 2014-Dec-10 00:00     1.5844826629E+08 177.224971 -18.060934
 2014-Dec-11 00:00     1.5775759170E+08 177.550542 -17.092803
 2014-Dec-12 00:00     1.5707721107E+08 177.875526 -16.115733
