*******************************************************************************
 2014-Sep-15 00:00     3.0144260373E+08 150.611695 -45.811819
 2014-Sep-16 00:00     3.0162523739E+08 150.898667 -45.617426
 2014-Sep-17 00:00     3.0180412094E+08 151.183311 -45.422557
 2014-Sep-18 00:00     3.0197925455E+08 151.465660 -45.227216
 2014-Sep-19 00:00     3.0215063837E+08 151.745750 -45.031412
 2014-Sep-20 00:00     3.0231827258E+08 152.023613 -44.835150
 2014-Sep-21 00:00     3.0248215732E+08 152.299283 -44.638436
 2014-Sep-22 00:00     3.0264229278E+08 152.572793 -44.441278
 2014-Sep-23 00:00     3.0279867911E+08 152.844175 -44.243680
 2014-Sep-24 00:00     3.0295131649E+08 153.113461 -44.045648
 2014-Sep-25 00:00     3.0310020507E+08 153.380683 -43.847187
 2014-Sep-26 00:00     3.0324534503E+08 153.645870 -43.648304
 2014-Sep-27 00:00     3.0338673653E+08 153.909055 -43.449001
 2014-Sep-28 00:00     3.0352437974E+08 154.170267 -43.249285
 2014-Sep-29 00:00     3.0365827480E+08 154.429536 -43.049159
 2014-Sep-30 00:00     3.0378842190E+08 154.686891 -42.848629
 2014-Oct-01 00:00     3.0391482118E+08 154.942361 -42.647697
 2014-Oct-02 00:00     3.0403747280E+08 155.195974 -42.446369
 2014-Oct-03 00:00     3.0415637692E+08 155.447759 -42.244648
 2014-Oct-04 00:00     3.0427153367E+08 155.697743 -42.042537
 2014-Oct-05 00:00     3.0438294321E+08 155.945953 -41.840039
 2014-Oct-06 00:00     3.0449060568E+08 156.192416 -41.637159
 2014-Oct-07 00:00     3.0459452122E+08 156.437159 -41.433899
 2014-Oct-08 00:00     3.0469468996E+08 156.680208 -41.230262
 2014-Oct-09 00:00     3.0479111202E+08 156.921589 -41.026251
 2014-Oct-10 00:00     3.0488378754E+08 157.161327 -40.821868
 2014-Oct-11 00:00     3.0497271663E+08 157.399446 -40.617116
 2014-Oct-12 00:00     3.0505789940E+08 157.635972 -40.411997
 2014-Oct-13 00:00     3.0513933597E+08 157.870930 -40.206513
 2014-Oct-14 00:00     3.0521702643E+08 158.104342 -40.000666
 2014-Oct-15 00:00     3.0529097088E+08 158.336233 -39.794458
 2014-Oct-16 00:00     3.0536116942E+08 158.566626 -39.587891
 2014-Oct-17 00:00     3.0542762212E+08 158.795543 -39.380966
 2014-Oct-18 00:00     3.0549032906E+08 159.023009 -39.173685
 2014-Oct-19 00:00     3.0554929032E+08 159.249044 -38.966049
 2014-Oct-20 00:00     3.0560450595E+08 159.473671 -38.758059
 2014-Oct-21 00:00     3.0565597602E+08 159.696912 -38.549717
 2014-Oct-22 00:00     3.0570370058E+08 159.918789 -38.341022
 2014-Oct-23 00:00     3.0574767966E+08 160.139321 -38.131977
 2014-Oct-24 00:00     3.0578791331E+08 160.358531 -37.922581
 2014-Oct-25 00:00     3.0582440156E+08 160.576439 -37.712835
 2014-Oct-26 00:00     3.0585714442E+08 160.793064 -37.502740
 2014-Oct-27 00:00     3.0588614191E+08 161.008428 -37.292297
 2014-Oct-28 00:00     3.0591139404E+08 161.222550 -37.081504
 2014-Oct-29 00:00     3.0593290080E+08 161.435449 -36.870363
 2014-Oct-30 00:00     3.0595066219E+08 161.647144 -36.658873
 2014-Oct-31 00:00     3.0596467819E+08 161.857655 -36.447035
 2014-Nov-01 00:00     3.0597494877E+08 162.067001 -36.234848
 2014-Nov-02 00:00     3.0598147391E+08 162.275199 -36.022312
 2014-Nov-03 00:00     3.0598425356E+08 162.482268 -35.809426
 2014-Nov-04 00:00     3.0598328767E+08 162.688227 -35.596190
 2014-Nov-05 00:00     3.0597857619E+08 162.893092 -35.382604
 2014-Nov-06 00:00     3.0597011906E+08 163.096881 -35.168666
 2014-Nov-07 00:00     3.0595791620E+08 163.299613 -34.954376
 2014-Nov-08 00:00     3.0594196754E+08 163.501303 -34.739733
 2014-Nov-09 00:00     3.0592227298E+08 163.701968 -34.524737
 2014-Nov-10 00:00     3.0589883244E+08 163.901627 -34.309385
 2014-Nov-11 00:00     3.0587164581E+08 164.100294 -34.093678
 2014-Nov-12 00:00     3.0584071298E+08 164.297986 -33.877613
 2014-Nov-13 00:00     3.0580603383E+08 164.494720 -33.661190
 2014-Nov-14 00:00     3.0576760823E+08 164.690510 -33.444407
 2014-Nov-15 00:00     3.0572543606E+08 164.885374 -33.227262
 2014-Nov-16 00:00     3.0567951717E+08 165.079326 -33.009754
 2014-Nov-17 00:00     3.0562985142E+08 165.272381 -32.791882
 2014-Nov-18 00:00     3.0557643865E+08 165.464556 -32.573643
 2014-Nov-19 00:00     3.0551927870E+08 165.655864 -32.355036
 2014-Nov-20 00:00     3.0545837140E+08 165.846322 -32.136059
 2014-Nov-21 00:00     3.0539371657E+08 166.035942 -31.916710
 2014-Nov-22 00:00     3.0532531403E+08 166.224740 -31.696987
 2014-Nov-23 00:00     3.0525316359E+08 166.412731 -31.476888
 2014-Nov-24 00:00     3.0517726507E+08 166.599927 -31.256410
 2014-Nov-25 00:00     3.0509761824E+08 166.786344 -31.035552
 2014-Nov-26 00:00     3.0501422291E+08 166.971995 -30.814311
 2014-Nov-27 00:00     3.0492707887E+08 167.156894 -30.592685
 2014-Nov-28 00:00     3.0483618588E+08 167.341055 -30.370671
 2014-Nov-29 00:00     3.0474154374E+08 167.524490 -30.148266
 2014-Nov-30 00:00     3.0464315220E+08 167.707214 -29.925468
 2014-Dec-01 00:00     3.0454101103E+08 167.889239 -29.702275
 2014-Dec-02 00:00     3.0443511999E+08 168.070579 -29.478683
 2014-Dec-03 00:00     3.0432547884E+08 168.251246 -29.254690
 2014-Dec-04 00:00     3.0421208732E+08 168.431253 -29.030293
 2014-Dec-05 00:00     3.0409494518E+08 168.610613 -28.805489
 2014-Dec-06 00:00     3.0397405216E+08 168.789339 -28.580274
 2014-Dec-07 00:00     3.0384940800E+08 168.967442 -28.354646
 2014-Dec-08 00:00     3.0372101244E+08 169.144935 -28.128601
 2014-Dec-09 00:00     3.0358886520E+08 169.321831 -27.902137
 2014-Dec-10 00:00     3.0345296602E+08 169.498141 -27.675249
 2014-Dec-11 00:00     3.0331331462E+08 169.673878 -27.447935
 2014-Dec-12 00:00     3.0316991073E+08 169.849054 -27.220191
 2014-Dec-13 00:00     3.0302275406E+08 170.023679 -26.992014
 2014-Dec-14 00:00     3.0287184435E+08 170.197767 -26.763399
 2014-Dec-15 00:00     3.0271718131E+08 170.371329 -26.534344
 2014-Dec-16 00:00     3.0255876465E+08 170.544375 -26.304845
